pl_name
"K2-386 b"
"K2-316 b"
"K2-278 b"
"K2-31 b"
"GJ 1265 b"
"K2-39 b"
"K2-370 b"
"EPIC 249893012 c"
"GSC 06214-00210 b"
"EPIC 212424622 b"
"EPIC 206215704 b"
"K2-130 b"
"K2-65 b"
"K2-72 d"
"K2-384 b"
"K2-217 b"
"K2-275 c"
"K2-209 b"
"EPIC 228836835 b"
"K2-184 b"
"NGC 2682 Sand 978 b"
"K2-70 b"
"K2-389 b"
"K2-374 c"
"HD 137496 b"
"K2-372 b"
"K2-139 b"
"K2-413 b"
"EPIC 212737443 b"
"K2-270 c"
"EPIC 220492298 b"
"K2-14 b"
"K2-233 b"
"K2-395 b"
"WASP-85 A b"
"HD 106315 b"
"K2-308 b"
"EPIC 206317286 b"
"EPIC 212499991 b"
"K2-268 c"
"K2-113 b"
"K2-414 c"
"K2-148 b"
"K2-395 c"
"HATS-11 b"
"EPIC 201757695.02"
"EPIC 201754305 d"
"K2-391 b"
"V1298 Tau c"
"K2-95 b"
"K2-268 f"
"K2-57 b"
"GJ 1002 c"
"K2-220 b"
"K2-133 b"
"K2-225 b"
"HAT-P-56 b"
"K2-173 b"
"K2-211 b"
"K2-140 b"
"K2-71 b"
"GJ 9827 b"
"K2-43 b"
"K2-16 c"
"K2-272 b"
"K2-215 b"
"K2-198 d"
"K2-138 f"
"TRAPPIST-1 h"
"K2-179 b"
"K2-97 b"
"K2-138 e"
"K2-384 c"
"K2-7 b"
"K2-58 d"
"K2-186 b"
"K2-24 b"
"Pr0211 b"
"HD 50554 b"
"K2-62 b"
"K2-257 b"
"K2-166 b"
"EPIC 201427007 b"
"EPIC 212587672 b"
"Ross 128 b"
"WASP-28 b"
"K2-61 b"
"V1298 Tau b"
"K2-352 b"
"K2-19 b"
"K2-183 c"
"HD 106270 b"
"K2-198 c"
"K2-381 c"
"K2-374 b"
"K2-341 b"
"Wolf 503 b"
"K2-411 b"
"K2-111 c"
"K2-330 b"
"HD 89345 b"
"HD 3167 e"
"K2-72 c"
"K2-170 b"
"K2-154 c"
"K2-210 b"
"K2-24 c"
"K2-125 b"
"K2-13 b"
"K2-260 b"
"K2-3 c"
"HD 3167 c"
"K2-46 b"
"TRAPPIST-1 c"
"K2-396 b"
"HAT-P-54 b"
"K2-49 b"
"K2-227 b"
"EPIC 220554210 c"
"K2-333 b"
"HD 3167 b"
"K2-157 b"
"K2-53 b"
"K2-22 b"
"K2-416 b"
"K2-199 c"
"K2-37 b"
"K2-8 b"
"K2-266 e"
"GJ 9827 d"
"K2-25 b"
"K2-141 b"
"K2-165 c"
"K2-254 c"
"K2-280 b"
"K2-216 b"
"K2-321 b"
"WASP-151 b"
"Qatar-2 b"
"K2-158 b"
"K2-289 b"
"K2-338 b"
"TRAPPIST-1 b"
"K2-339 b"
"K2-38 b"
"K2-199 b"
"GJ 1002 b"
"K2-27 b"
"K2-368 b"
"K2-378 b"
"K2-58 c"
"K2-29 b"
"K2-348 b"
"K2-275 b"
"K2-60 b"
"K2-187 e"
"K2-182 b"
"K2-229 c"
"K2-352 d"
"K2-175 b"
"K2-86 b"
"K2-21 c"
"K2-365 b"
"K2-32 e"
"K2-376 b"
"HD 3167 d"
"K2-195 c"
"K2-105 b"
"K2-201 c"
"K2-37 c"
"K2-138 c"
"K2-176 b"
"HD 137496 c"
"K2-326 b"
"EPIC 201841433 b"
"WASP-75 b"
"K2-164 b"
"K2-189 b"
"2M0437 b"
"K2-270 b"
"K2-79 b"
"K2-201 b"
"HD 106315 c"
"K2-187 b"
"K2-77 b"
"K2-9 b"
"K2-266 d"
"HD 75784 b"
"K2-26 b"
"K2-68 b"
"HIP 41378 d"
"EPIC 206024342 d"
"K2-239 d"
"EPIC 249893012 b"
"K2-349 b"
"K2-84 c"
"Pr0211 c"
"K2-245 b"
"K2-221 b"
"K2-290 b"
"WASP-47 e"
"K2-204 b"
"K2-138 g"
"K2-167 b"
"K2-233 d"
"K2-343 c"
"K2-146 c"
"K2-352 c"
"K2-367 b"
"K2-358 b"
"K2-191 b"
"K2-115 b"
"K2-336 b"
"K2-344 b"
"EPIC 201595106 b"
"K2-323 b"
"K2-401 b"
"K2-55 b"
"TRAPPIST-1 f"
"K2-342 b"
"K2-408 b"
"K2-254 b"
"K2-331 b"
"WASP-107 c"
"K2-219 b"
"K2-357 b"
"K2-47 b"
"eps Tau b"
"WASP-47 c"
"K2-159 b"
"K2-232 b"
"K2-88 b"
"K2-266 c"
"K2-368 c"
"TRAPPIST-1 d"
"WASP-157 b"
"EPIC 212297394 b"
"GJ 9827 c"
"EPIC 229004835 b"
"K2-149 b"
"K2-18 c"
"K2-62 c"
"K2-165 d"
"K2-277 b"
"K2-193 b"
"K2-377 b"
"EPIC 249893012 d"
"K2-54 b"
"K2-10 b"
"K2-188 c"
"K2-148 d"
"K2-259 b"
"K2-263 b"
"K2-295 b"
"K2-294 b"
"K2-66 b"
"ITG 15 b"
"K2-152 b"
"K2-38 c"
"K2-75 b"
"K2-230 b"
"K2-117 b"
"K2-83 b"
"K2-222 b"
"K2-156 b"
"K2-72 e"
"K2-371 b"
"K2-241 b"
"K2-195 b"
"K2-385 b"
"Kepler-107 d"
"TOI-3364 b"
"KMT-2016-BLG-2605L b"
"Kepler-248 b"
"24 Sex b"
"24 Sex c"
"DENIS-P J082303.1-491201 b"
"HIP 63242 b"
"GJ 504 b"
"2MASS J01225093-2439505 b"
"RR Cae b"
"HAT-P-44 b"
"K2-334 b"
"K2-384 e"
"EPIC 212624936 c"
"EPIC 206024342 b"
"EPIC 206317286 c"
"K2-146 b"
"K2-261 b"
"K2-185 c"
"K2-172 b"
"K2-136 b"
"K2-205 b"
"K2-283 b"
"K2-356 b"
"K2-355 b"
"K2-190 c"
"K2-231 b"
"K2-155 c"
"K2-258 b"
"K2-346 b"
"K2-288 B b"
"K2-198 b"
"K2-162 b"
"HIP 41378 c"
"K2-43 c"
"WASP-107 b"
"K2-276 b"
"K2-75 c"
"K2-80 d"
"K2-90 c"
"K2-269 b"
"K2-268 e"
"K2-28 b"
"K2-127 b"
"K2-138 d"
"K2-337 b"
"K2-350 b"
"K2-6 b"
"K2-123 b"
"K2-100 b"
"K2-393 b"
"K2-45 b"
"K2-30 b"
"K2-129 b"
"K2-285 c"
"K2-373 b"
"K2-380 b"
"K2-291 b"
"GJ 393 b"
"K2-101 b"
"WASP-47 b"
"K2-160 b"
"K2-80 b"
"EPIC 206042996 c"
"K2-251 b"
"EPIC 201170410.02"
"K2-5 c"
"K2-155 b"
"K2-36 c"
"K2-407 b"
"K2-224 c"
"K2-155 d"
"K2-340 b"
"K2-264 b"
"K2-366 b"
"K2-255 b"
"K2-4 b"
